time stamp	Weights of nodefirst	Calls of nodefirst	Weights of pathfirst	Calls of pathfirst	Weights of Node Random Removal	Calls of Node Random Removal	Weights of Node Shaw Removal	Calls of Node Shaw Removal	Weights of Node Worst Removal	Calls of Node Worst Removal	Weights of nodeNullDestroy	Calls of nodeNullDestroy	Weights of Node Greedy Insert	Calls of Node Greedy Insert	Weights of Node Random Insert	Calls of Node Random Insert	Weights of Node Regret-2 Insert	Calls of Node Regret-2 Insert	Weights of Path Average-Length-Difference Removal	Calls of Path Average-Length-Difference Removal	Weights of Path Average-Length Removal	Calls of Path Average-Length Removal	Weights of Path Cardinality Removal	Calls of Path Cardinality Removal	Weights of Path Node-Frequency Removal	Calls of Path Node-Frequency Removal	Weights of Path Random Removal	Calls of Path Random Removal	Weights of pathNullDestroy	Calls of pathNullDestroy	Weights of Path K-max Length Insert	Calls of Path K-max Length Insert	Weights of Path Node-Frequency Insert	Calls of Path Node-Frequency Insert	Weights of Path Random Insert	Calls of Path Random Insert	Weights of nodeNoise	Calls of nodeNoise	Weights of pathNoise	Calls of pathNoise	
14.895	1	0	2.488	1	1	0	1	0	1	0	2.488	1	1	0	1	0	1	0	2.488	1	1	0	1	0	1	0	1	0	1	0	1	0	2.488	1	1	0	0.666667	1	0.333333	0	
15.039	1	0	2.3904	1	1	0	1	0	1	0	2.3904	1	1	0	1	0	1	0	2.3904	1	1	0	1	0	1	0	1	0	1	0	1	0	2.3904	1	1	0	0.666667	1	0.333333	0	
15.191	1	0	1.91232	1	1	0	1	0	1	0	1.91232	1	1	0	1	0	1	0	1.91232	1	1	0	1	0	1	0	1	0	1	0	1	0	1.91232	1	1	0	0.5	0	0.5	0	
15.308	1	0	1.52986	1	1	0	1	0	1	0	1.52986	1	1	0	1	0	1	0	1.52986	1	1	0	1	0	1	0	1	0	1	0	1	0	1.52986	1	1	0	0.5	0	0.5	0	
15.466	1	0	2.62388	1	1	0	1	0	1	0	2.62388	1	1	0	1	0	1	0	2.62388	1	1	0	1	0	1	0	1	0	1	0	1	0	2.62388	1	1	0	0.666667	1	0.333333	0	
15.683	1.2	1	2.09911	0	1	0	1	0	1.2	1	2.09911	0	1	0	1.2	1	1	0	2.09911	0	1	0	1.2	1	1	0	1	0	1	0	1	0	2.49911	1	1	0	0.666667	1	0.666667	1	
15.888	2.36	1	1.67929	0	1	0	1	0	2.36	1	1.67929	0	1	0	2.36	1	1	0	1.67929	0	1	0	2.36	1	1	0	1	0	1	0	1	0	3.39929	1	1	0	0.666667	1	0.666667	1	
16.15	2.288	1	1.34343	0	1	0	1	0	2.288	1	1.34343	0	1	0	2.288	1	1	0	1.34343	0	1	0	2.288	1	1	0	1	0	1	0	1	0	3.11943	1	1	0	0.666667	1	0.666667	1	
16.362	3.2304	1	1.07474	0	1	0	1	0	3.2304	1	1.07474	0	1	0	3.2304	1	1	0	1.07474	0	1	0	3.2304	1	1	0	1	0	1	0	1	0	3.89554	1	1	0	0.666667	1	0.666667	1	
16.573	2.98432	1	1	0	1	0	1	0	2.98432	1	1	0	1	0	2.98432	1	1	0	1	0	1	0	2.58432	0	1.2	1	1	0	1	0	1	0	3.51643	1	1	0	0.666667	1	0.666667	1	
16.763	3.78746	1	1	0	1	0	1	0	3.78746	1	1	0	1	0	3.78746	1	1	0	1	0	1	0	2.06746	0	2.36	1	1	0	1	0	1	0	4.21315	1	1	0	0.666667	1	0.666667	1	
16.972	3.42996	1	1	0	1	0	1	0	3.42996	1	1	0	1	0	3.42996	1	1	0	1	0	1	0	1.65396	0	2.288	1	1	0	1	0	1	0	3.77052	1	1	0	0.666667	1	0.666667	1	
17.197	3.14397	1	1	0	1	0	1	0	3.14397	1	1	0	1	0	3.14397	1	1	0	1	0	1	0	1.32317	0	2.2304	1	1	0	1	0	1	0	3.41641	1	1	0	0.666667	1	0.666667	1	
17.392	2.91518	1	1	0	1	0	1	0	2.91518	1	1	0	1	0	2.91518	1	1	0	1	0	1	0	1.05854	0	2.18432	1	1	0	1	0	1	0	3.13313	1	1	0	0.666667	1	0.666667	1	
17.655	3.73214	1	1	0	2.2	1	1	0	2.33214	0	1	0	2.2	1	2.33214	0	1	0	1	0	1	0	1	0	1.74746	0	2.2	1	1	0	1	0	2.50651	0	2.2	1	0.666667	1	0.333333	0	
17.935	3.38571	1	1	0	2.16	1	1	0	1.86571	0	1	0	2.16	1	1.86571	0	1	0	1	0	1	0	1	0	1.39796	0	2.16	1	1	0	1	0	2.0052	0	2.16	1	0.666667	1	0.333333	0	
18.166	4.10857	1	1	0	3.128	1	1	0	1.49257	0	1	0	3.128	1	1.49257	0	1	0	1	0	1	0	1	0	1.11837	0	3.128	1	1	0	1	0	1.60416	0	3.128	1	0.666667	1	0.333333	0	
18.464	3.68686	1	1	0	2.9024	1	1	0	1.19406	0	1	0	2.9024	1	1.19406	0	1	0	1	0	1	0	1	0	1	0	2.9024	1	1	0	1	0	1.28333	0	2.9024	1	0.666667	1	0.333333	0	
18.799	2.94949	1	1	0	2.32192	0	1	0	1	1	1	0	2.32192	1	1	0	1	0	1	0	1	0	1	0	1	0	2.32192	0	1	1	1	0	1.02666	0	2.32192	0	0.5	0	0.5	0	
18.999	2.35959	0	1.2	1	1.85754	0	1	0	1	0	1.2	1	1.85754	0	1	0	1	0	1	0	1	0	1.2	1	1	0	1.85754	0	1	0	1	0	1	0	2.25754	1	0.666667	1	0.666667	1	
19.179	1.88767	0	1.36	1	1.48603	0	1	0	1	0	1.36	1	1.48603	0	1	0	1	0	1	0	1.2	1	1	0	1	0	1.48603	0	1	0	1	0	1	0	2.20603	1	0.666667	1	0.666667	1	
19.381	1.51014	0	2.488	1	1.18882	0	1	0	1	0	2.488	1	1.18882	0	1	0	1	0	1	0	2.36	1	1	0	1	0	1.18882	0	1	0	1	0	1	0	3.16482	1	0.666667	1	0.666667	1	
19.597	1.20811	1	1.9904	0	1	0	1	1	1	0	1.9904	0	1	0	1	1	1	0	1	1	1.888	0	1	0	1	0	1	0	1	0	1	1	1	0	2.53186	0	0.5	0	0.5	0	
19.823	1	1	1.59232	0	1	0	1	1	1	0	1.59232	0	1	0	1	1	1	0	1	1	1.5104	0	1	0	1	0	1	0	1	0	1	1	1	0	2.02549	0	0.5	0	0.5	0	
20.018	1	1	1.27386	0	1	0	1	1	1	0	1.27386	0	1	0	1	1	1	0	1	1	1.20832	0	1	0	1	0	1	0	1	0	1	1	1	0	1.62039	0	0.5	0	0.5	0	
20.245	1	1	1.01908	0	1	0	1	1	1	0	1.01908	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1.29631	0	0.5	0	0.5	0	
20.457	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1.03705	0	0.5	0	0.5	0	
20.75	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	0.5	0	0.5	0	
21.032	1	0	2.2	1	1	0	2.2	1	1	0	1	0	1	0	1	0	2.2	1	2.2	1	1	0	1	0	1	0	1	0	1	0	2.2	1	1	0	1	0	0.666667	1	0.333333	0	
21.284	1	0	2.16	1	1	0	2.16	1	1	0	1	0	1	0	1	0	2.16	1	2.16	1	1	0	1	0	1	0	1	0	1	0	2.16	1	1	0	1	0	0.666667	1	0.333333	0	
21.535	1	0	1.728	1	1	0	1.728	1	1	0	1	0	1	0	1	0	1.728	1	1.728	1	1	0	1	0	1	0	1	0	1	0	1.728	1	1	0	1	0	0.5	0	0.5	0	
21.812	1	0	1.3824	1	1	1	1.3824	0	1	0	1	0	1	1	1	0	1.3824	0	1.3824	1	1	0	1	0	1	0	1	0	1	0	1.3824	1	1	0	1	0	0.5	0	0.5	0	
22.232	1	1	1.10592	0	1	1	1.10592	0	1	0	1	0	1	1	1	0	1.10592	0	1.10592	0	1	1	1	0	1	0	1	0	1	0	1.10592	1	1	0	1	0	0.5	0	0.5	0	
22.568	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	0	0.5	0	0.5	0	
22.774	1	0	1.2	1	1	0	1	0	1	0	1.2	1	1	0	1	0	1	0	1	0	1	0	1.2	1	1	0	1	0	1	0	1	0	1.2	1	1	0	0.666667	1	0.666667	1	
22.989	1	0	1.36	1	1	0	1	0	1	0	1.36	1	1	0	1	0	1	0	1	0	1	0	1.36	1	1	0	1	0	1	0	1	0	1.36	1	1	0	0.666667	1	0.666667	1	
23.16	1	0	1.488	1	1	0	1	0	1	0	1.488	1	1	0	1	0	1	0	1	0	1	0	1.488	1	1	0	1	0	1	0	1	0	1.488	1	1	0	0.666667	1	0.666667	1	
23.327	1	0	1.5904	1	1	0	1	0	1	0	1.5904	1	1	0	1	0	1	0	1	0	1	0	1.5904	1	1	0	1	0	1	0	1	0	1.5904	1	1	0	0.666667	1	0.666667	1	
23.473	1	0	1.67232	1	1	0	1	0	1	0	1.67232	1	1	0	1	0	1	0	1	0	1	0	1.67232	1	1	0	1	0	1	0	1	0	1.67232	1	1	0	0.666667	1	0.666667	1	
23.887	1	0	1.33786	1	1	0	1	0	1	1	1.33786	0	1	0	1	0	1	1	1	0	1	0	1.33786	1	1	0	1	0	1	0	1	0	1.33786	1	1	0	0.5	0	0.5	0	
24.307	1	0	1.07028	1	1	0	1	0	1	1	1.07028	0	1	0	1	0	1	1	1	0	1	0	1.07028	1	1	0	1	0	1	0	1	0	1.07028	1	1	0	0.5	0	0.5	0	
24.713	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	0.5	0	0.5	0	
25.132	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	0.5	0	0.5	0	
25.506	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	0.5	0	0.5	0	
25.686	1	0	1.2	1	1.2	1	1	0	1	0	1	0	1	0	1.2	1	1	0	1	0	1	0	1	0	1.2	1	1	0	1	0	1	0	1.2	1	1	0	0.666667	1	0.666667	1	
25.847	1	0	1.36	1	1.36	1	1	0	1	0	1	0	1	0	1.36	1	1	0	1	0	1	0	1	0	1.36	1	1	0	1	0	1	0	1.36	1	1	0	0.666667	1	0.666667	1	
26.059	1	0	2.488	1	2.488	1	1	0	1	0	1	0	1	0	2.488	1	1	0	1	0	1	0	1	0	2.488	1	1	0	1	0	1	0	2.488	1	1	0	0.666667	1	0.666667	1	
26.265	1	0	2.3904	1	2.3904	1	1	0	1	0	1	0	1	0	2.3904	1	1	0	1	0	1	0	1	0	2.3904	1	1	0	1	0	1	0	2.3904	1	1	0	0.666667	1	0.666667	1	
26.43	1	0	1.91232	1	1.91232	1	1	0	1	0	1	0	1	0	1.91232	1	1	0	1	0	1	0	1	0	1.91232	1	1	0	1	0	1	0	1.91232	1	1	0	0.5	0	0.5	0	
26.667	1.2	1	1.52986	0	1.52986	0	1	0	1.2	1	1	0	1	0	1.52986	0	1.2	1	1	0	1	0	1	0	1.52986	0	1	0	1.2	1	1	0	1.52986	0	1	0	0.666667	1	0.333333	0	
26.908	1	1	1.22388	0	1.22388	0	1	0	1	1	1	0	1	0	1.22388	0	1	1	1	0	1	0	1	0	1.22388	0	1	0	1	1	1	0	1.22388	0	1	0	0.5	0	0.5	0	
27.149	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	0.5	0	0.5	0	
27.437	1.2	1	1	0	1	0	1	0	1.2	1	1	0	1	0	1	0	1.2	1	1	0	1	0	1	0	1	0	1	0	1.2	1	1	0	1	0	1	0	0.666667	1	0.333333	0	
27.704	1	0	1.2	1	1	0	1	0	1.36	1	1	0	1.2	1	1	0	1	0	1.2	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1.2	1	0.666667	1	0.666667	1	
27.986	1	0	2.36	1	1	0	1	0	2.488	1	1	0	2.36	1	1	0	1	0	2.36	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	2.36	1	0.666667	1	0.666667	1	
28.292	1	0	3.288	1	1	0	1	0	3.3904	1	1	0	3.288	1	1	0	1	0	3.288	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	3.288	1	0.666667	1	0.666667	1	
28.614	1	0	4.0304	1	1	0	1	0	4.11232	1	1	0	4.0304	1	1	0	1	0	4.0304	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	4.0304	1	0.666667	1	0.666667	1	
28.888	1	0	3.22432	1	1	0	1	1	3.28986	0	1	0	3.22432	1	1	0	1	0	3.22432	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	3.22432	1	0.5	0	0.5	0	
29.152	2.4	1	2.57946	0	1	0	2.4	1	2.63188	0	1	0	4.17946	1	1	0	1	0	4.17946	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	4.17946	1	0.666667	1	0.666667	1	
29.391	2.32	1	2.06356	0	1	0	2.32	1	2.10551	0	1	0	3.74356	1	1	0	1	0	3.74356	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	3.74356	1	0.666667	1	0.666667	1	
29.509	1.856	0	2.05085	1	1	0	1.856	0	1.68441	0	1.2	1	2.99485	0	1	0	1	0	2.99485	0	1	0	1	0	1.2	1	1	0	1	0	1	0	1.2	1	2.99485	0	0.666667	1	0.333333	0	
29.628	1.4848	0	2.04068	1	1	0	1.4848	0	1.34753	0	1.36	1	2.39588	0	1	0	1	0	2.39588	0	1	0	1	0	1.36	1	1	0	1	0	1	0	1.36	1	2.39588	0	0.666667	1	0.333333	0	
29.795	1.18784	0	3.03255	1	1	0	1.18784	0	1.07802	0	2.488	1	1.91671	0	1	0	1	0	1.91671	0	1	0	1	0	2.488	1	1	0	1	0	1	0	2.488	1	1.91671	0	0.666667	1	0.333333	0	
29.938	1	0	3.82604	1	1	0	1	0	1	0	3.3904	1	1.53336	0	1	0	1	0	1.53336	0	1	0	1	0	3.3904	1	1	0	1	0	1	0	3.3904	1	1.53336	0	0.666667	1	0.333333	0	
30.117	1	0	4.66083	1	1	0	1	0	1	0	4.31232	1	1.22669	0	1	0	1	0	1.22669	0	1	0	1	0	4.31232	1	1	0	1	0	1	0	4.31232	1	1.22669	0	0.666667	1	0.333333	0	
